Maluku Tenggara Barat,114.94,111.8
Maluku Tenggara,112.55,110.87
Maluku Tengah,103.45,100.76
Buru,102.69,100.55
Kepulauan Aru,109.46,110.07
Seram Bagian Barat,103.03,101.88
Seram Bagian Timur,103.79,101.03
Maluku Barat Daya,118.83,119.46
Buru Selatan,108.6,106.08
Kota Ambon,101.11,100.41
Kota Tual,112.49,110.62
Halmahera Barat,106.9,107.49
Halmahera Tengah,111.96,116.67
Kepulauan Sula,120.43,122.44
Halmahera Selatan,107.04,105.72
Halmahera Utara,109.79,108.77
Halmahera Timur,110.11,114.43
Pulau Morotai,114.41,120.55
Pulau Taliabu,117.86,114.13
Kota Ternate,116.41,122.4
Kota Tidore Kepulauan,112.86,109.84
Fakfak,118.12,121.38
Kaimana,115.83,120.34
Teluk Wondama,115.25,115.25
Teluk Bintuni,138.4,130.92
Manokwari,114.12,113.78
Manokwari Selatan,127.01,121.72
Pegunungan Arfak,144.6,153.69
Raja Ampat,118.04,123.94
Sorong,117.78,116.59
Sorong Selatan,119.36,118.81
Maybrat,128.25,130.71
Tambrauw,133.79,130.55
Kota Sorong,115.04,113.71
Jayapura,114.63,110.3
Kepulauan Yapen,129.21,132.2
Biak Numfor,128.76,128.26
Sarmi,139.22,138.87
Keerom,136.49,133.04
Waropen,140.19,144.6
Supiori,136.9,134.73
Mamberamo Raya,175.11,175.63
Kota Jayapura,126.98,125.66
Merauke,132.48,138.95
Boven Digoel,134.28,139.28
Mappi,147.34,147.15
Asmat,140.07,146.77
Mimika,120.87,121.9
Dogiyai,171.26,172.02
Deiyai,189.11,180.72
Nabire,126.64,125.32
Paniai,187.55,177.76
Intan Jaya,376.04,342.93
Puncak,383.61,379.81
Puncak Jaya,351.45,334.69
Nduga,240.78,230.13
Jayawijaya,242.06,242.78
Lanny Jaya,269.07,257.73
Tolikara,264.48,288.59
Mamberamo Tengah,301.29,285.83
Yalimo,254.48,243.53
Yahukimo,157.72,169.54
Pegunungan Bintang,316.57,302.53
